FID,objectid,id,name,road_front,suburb,se_area_sh,se_length_,On_Off,Details,GlobalID,SHAPE_Length,SHAPE_Area
86,65,1,Liardet and Balfour Street Corner,yes,Berhampore,0,0,Off leash,Off leash under control of owner,{90C68BE1-7A4C-4E63-B61E-244FEC042D1A},371.909082112472,6025.15907739843
87,66,1,Tawa Tawa Reserve,yes,Owhiro Bay,0,0,Off leash,Off leash under control of owner,{1E4074DB-2D29-494F-82BD-F133532E4B6B},1332.26355963711,83035.6898204315
88,67,1,Te Ahumairangi Slopes,no,Thorndon,0,0,Off leash,Off leash under control of owner,{D2BDD80C-2F64-4006-962D-C140E9C07F1F},1205.56428098229,18327.1724785387
89,69,1,MacAlister Park,no,Berhampore,0,0,Off leash,Off leash under control of owner,{4DE7F27E-CB6C-4EFA-9EA9-4AF9FEAB295B},688.606483836706,13706.5870419316
90,70,1,Monaghan Rd Reserve,yes,Karori,0,0,Off leash,Off leash under control of owner,{AA9B10DE-538E-4CB4-BB96-C7870F1747A0},203.622171581836,2086.16076294099
91,71,1,Meekswood Reserve,yes,Johnsonville,0,0,Off leash,Off leash under control of owner,{E0C8DF12-6C06-4096-B636-90A48EA380B6},741.72086197419,27810.8216643281
92,72,1,Cummings Park,no,Ngaio,0,0,Off leash,Off leash under control of owner,{CE920B30-EB14-4B8E-BDF9-03139F58D760},251.122502087222,3029.18957787517
93,73,1,Churton Park,yes,Churton Park,0,0,Off leash,Off leash under control of owner,{3B7C71A3-54C9-453C-8C41-769DF13BB1A8},499.07355246523,15104.699557706
94,75,1,Tukanae St Reserve,yes,Strathmore Park,0,0,Off leash,Off leash under control of owner,{8857F4BC-DC03-4EAC-811B-ABCC2379DBD5},415.115030497198,5589.70096104869
95,76,1,Kowhai Park,no,Brooklyn,0,0,Off leash,Off leash under control of owner,{A8C817E0-305B-4E9C-8ACA-5261731F6D60},529.295745970427,4848.03723711367
96,77,1,Ellice St Quarry,yes,Mt Victoria,0,0,Off leash,Off leash under control of owner,{77CC35E8-32B0-469B-91B7-1696B25519C1},315.077452670336,5523.62010387499
97,78,1,Hataitai Park,yes,Hataitai,0,0,Off leash,Off leash under control of owner,{10029F63-7592-40D2-B56E-3B515CC50866},772.329579704885,34115.3279643257
98,79,1,Mt Albert Park,yes,Berhampore,0,0,Off leash,Off leash under control of owner,{F9FA4AE1-0165-4A51-8A68-D656E8FEA904},1400.60808591718,33699.5741676231
99,80,1,Sinclair Park,yes,Houghton Bay,0,0,Off leash,Off leash under control of owner,{AF90D456-D25A-4CF5-A199-B578592AFD21},797.316129468862,19217.6605667957
100,81,1,Bann St,yes,Southgate,0,0,Off leash,Off leash under control of owner,{5F060972-5C72-44CC-91C0-C1A517DAC2A6},476.654412086016,8238.54948992761
101,82,1,Reef St,yes,Island Bay,0,0,Off leash,Off leash under control of owner,{7F07D71F-778F-4CDF-B97C-EAA13464FEA9},222.260549659076,3123.6216208
102,83,1,Silverstream Road Reserve,yes,Ngaio,0,0,Off leash,Off leash under control of owner,{D662EFC0-5B85-4F90-B4C3-169DF14CE627},337.902086177146,4374.79587275672
